Section 484, Counterfeiting a mark used by a public servant,,,
Section 485, Making or possession of any instrument for counterfeiting a property mark,,,
Section 486, Selling goods marked with a counterfeit property mark,,,
Section 487, Making a false mark upon any receptacle containing goods,,,
Section 488, Punishment for making use of any such false mark,,,
Section 489, Tampering with property mark with intent to cause injury,,,
Section 489A, Counterfeiting currency-notes or bank-notes,,,
Section 489B," Using as genuine, forged or counterfeit currency-notes or bank-notes",,,
Section 489C, Possession of forged or counterfeit currency-notes or bank-notes,,,
Section 489D, Making or possessing instruments or materials for forgoing or counterfeiting currency-notes or bank-notes,,,
Section 489E, Making or using documents resembling currency-notes or bank-notes,,,
Section 490, Breach of contract of service during voyage or journey,,,
Section 491, Breach of contract to attend on and supply wants of helpless person,,,
Section 492, Breach of contract to serve at distant place to which servant is conveyed at master�s expense,,,
Section 493, Cohabitation caused by a man deceitfully inducing a belief of lawful marriage,,,
Section 494, Marrying again during lifetime of husband or wife,,,
Section 495, Same offence with concealment of former marriage from person with whom subsequent marriage is contracted,,,
Section 496, Marriage ceremony fraudulently gone through without lawful marriage,,,
Section 497, Adultery,,,
Section 498, Enticing or taking away or detaining with criminal intent a married woman,,,
Section 499, Defamation,,,
Section 500, Punishment for defamation,,,
Section 501, Printing or engraving matter known to be defamatory,,,
Section 502, Sale of printed or engraved substance containing defamatory matter,,,
Section 503, Criminal intimidation,,,
Section 504, Intentional insult with intent to provoke breach of the peace,,,
Section 505, Statements conducing to public mischief,,,
Section 506, Punishment for criminal intimidation,,,
Section 507, Criminal intimidation by an anonymous communication,,,
Section 508, Act caused by inducing person to believe that he will be rendered an object of the Divine,,,
Section 509," Word, gesture or act intended to insult the modesty of a woman",,,
Section 510, Misconduct in public by a drunken person,,,
Section511, Punishment for attempting to commit offences punishable with imprisonment for life or other imprisonment,,,
,,,,
This is Sections in IPC (Indian Penal Code) and the titles only," If you want to download the Indian Penal Code (IPC) full PDF version click the Rules & Regulations in the Official website of District Court, Pathanmathitta, Kerala, www",ecourts,gov,in/kerala/pathanamthitta
